Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
TDY,Teledyne Technologies,reports,Industrials,Aerospace & Defense,"Thousand Oaks, California",2020-06-22 00:00:00,1094285.0,1960
TFX,Teleflex,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",2019-01-18 00:00:00,96943.0,1943
TER,Teradyne,reports,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",2020-09-21 00:00:00,97210.0,1960
TSLA,"Tesla, Inc.",reports,Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California",2020-12-21 00:00:00,1318605.0,2003
TXN,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476.0,1930
TXT,Textron Inc.,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31 00:00:00,217346.0,1923
TMO,Thermo Fisher Scientific,reports,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",,97745.0,2006 (1902)
TJX,TJX Companies Inc.,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30 00:00:00,109198.0,1987
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",2014-01-24 00:00:00,916365.0,1938
TT,Trane Technologies plc,reports,Industrials,Building Products,"Dublin, Ireland",2010-11-17 00:00:00,1466258.0,1871
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03 00:00:00,1260221.0,1993
TRV,The Travelers Companies Inc.,reports,Financials,Property & Casualty Insurance,"New York, New York",2002-08-21 00:00:00,86312.0,1853
TRMB,Trimble Inc.,reports,Information Technology,Electronic Equipment & Instruments,"Sunnyvale, California",2021-01-21 00:00:00,864749.0,1978
TFC,Truist Financial,reports,Financials,Regional Banks,"Charlotte, North Carolina",1997-12-04 00:00:00,92230.0,1872
TWTR,"Twitter, Inc.",reports,Communication Services,Interactive Media & Services,"San Francisco, California",2018-06-07 00:00:00,1418091.0,2006
TYL,Tyler Technologies,reports,Information Technology,Application Software,"Plano, Texas",2020-06-22 00:00:00,860731.0,1966
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493.0,1935
UDR,"UDR, Inc.",reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016-03-07 00:00:00,74208.0,1972
ULTA,Ulta Beauty,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016-04-18 00:00:00,1403568.0,1990
USB,U.S. Bancorp,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104.0,1968
UAA,Under Armour (Class A),reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2014-05-01 00:00:00,1336917.0,1996
UA,Under Armour (Class C),reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2016-04-08 00:00:00,1336917.0,1996
UNP,Union Pacific Corp,reports,Industrials,Railroads,"Omaha, Nebraska",1957-03-04 00:00:00,100885.0,1862
UAL,United Airlines Holdings,reports,Industrials,Airlines,"Chicago, Illinois",2015-09-03 00:00:00,100517.0,1967
UNH,UnitedHealth Group Inc.,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01 00:00:00,731766.0,1977
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",2002-07-22 00:00:00,1090727.0,1907
URI,"United Rentals, Inc.",reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20 00:00:00,1067701.0,1997
UHS,Universal Health Services,reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20 00:00:00,352915.0,1979
UNM,Unum Group,reports,Financials,Life & Health Insurance,"Chattanooga, Tennessee",1994-03-01 00:00:00,5513.0,1999
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002.0,1980
VAR,Varian Medical Systems,reports,Health Care,Health Care Equipment,"Palo Alto, California",2007-02-12 00:00:00,203527.0,1948
VTR,Ventas Inc,reports,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04 00:00:00,740260.0,1998
VRSN,Verisign Inc.,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01 00:00:00,1014473.0,1995
VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08 00:00:00,1442145.0,1971
VZ,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,"New York, New York",1983-11-30 00:00:00,732712.0,1983 (1877)
VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",2013-09-23 00:00:00,875320.0,1989
VFC,VF Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",1979-06-30 00:00:00,103379.0,1899
VIAC,ViacomCBS,reports,Communication Services,Movies & Entertainment,"New York, New York",,813828.0,2019 (1952)
VTRS,Viatris,reports,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",2004-04-23 00:00:00,1792044.0,1961
V,Visa Inc.,reports,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",2009-12-21 00:00:00,1403161.0,1958
VNT,Vontier,reports,Information Technology,Electronic Equipment & Instruments,"Raleigh, North Carolina",2020-10-09 00:00:00,1786842.0,2019
VNO,Vornado Realty Trust,reports,Real Estate,Office REITs,"New York, New York",,899689.0,1982
VMC,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",1999-06-30 00:00:00,1396009.0,1909
WRB,W. R. Berkley Corporation,reports,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05 00:00:00,11544.0,1967
WAB,Westinghouse Air Brake Technologies Corp,reports,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",2019-02-27 00:00:00,943452.0,1999 (1869)
WMT,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982-08-31 00:00:00,104169.0,1962
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31 00:00:00,1618921.0,2014
DIS,The Walt Disney Company,reports,Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30 00:00:00,1744489.0,1923
WM,Waste Management Inc.,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768.0,1968
WAT,Waters Corporation,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697.0,1958
WEC,WEC Energy Group,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31 00:00:00,783325.0,1896
WFC,Wells Fargo,reports,Financials,Diversified Banks,"San Francisco, California",1976-06-30 00:00:00,72971.0,1852
WELL,Welltower Inc.,reports,Real Estate,Health Care REITs,"Toledo, Ohio",2009-01-30 00:00:00,766704.0,1970
WST,West Pharmaceutical Services,reports,Health Care,Health Care Supplies,"Exton, Pennsylvania",2020-05-22 00:00:00,105770.0,1923
WDC,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2009-07-01 00:00:00,106040.0,1970
WU,Western Union Co,reports,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",2006-09-29 00:00:00,1365135.0,1851
WRK,WestRock,reports,Materials,Paper Packaging,"Atlanta, Georgia",,1732845.0,2015
WY,Weyerhaeuser,reports,Real Estate,Specialized REITs,"Federal Way, Washington",,106535.0,1900
WHR,Whirlpool Corp.,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640.0,1911
WMB,Williams Companies,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31 00:00:00,107263.0,1908
WLTW,Willis Towers Watson,reports,Financials,Insurance Brokers,"London, United Kingdom",2016-01-05 00:00:00,1140536.0,2016
WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008-11-14 00:00:00,1174922.0,2002
XEL,Xcel Energy Inc,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1957-03-04 00:00:00,72903.0,1909
XRX,Xerox,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,1770450.0,1906
XLNX,Xilinx,reports,Information Technology,Semiconductors,"San Jose, California",1999-11-08 00:00:00,743988.0,1984
XYL,Xylem Inc.,reports,Industrials,Industrial Machinery,"White Plains, New York",2011-11-01 00:00:00,1524472.0,2011
YUM,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06 00:00:00,1041061.0,1997
ZBRA,Zebra Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019-12-23 00:00:00,877212.0,1969
ZBH,Zimmer Biomet,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",2001-08-07 00:00:00,1136869.0,1927
ZION,Zions Bancorp,reports,Financials,Regional Banks,"Salt Lake City, Utah",2001-06-22 00:00:00,109380.0,1873
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21 00:00:00,1555280.0,1952
Date,Added,,Removed,,Reason,,,
,Ticker,Security,Ticker,Security,,,,
"January 21, 2021",TRMB,Trimble Inc.,CXO,Concho Resources,S&P 500/100 constituent ConocoPhillips acquired Concho Resources.[6],,,
"January 7, 2021",ENPH,Enphase Energy,TIF,Tiffany & Co.,LVMH Moet Hennessy-Louis Vuitton SE acquired Tiffany & Co.[7],,,
"December 21, 2020",TSLA,"Tesla, Inc.",AIV,Apartment Investment & Management,Apartment Investment and Management (Aimco) spun off Apartment Income REIT.[8],,,
"October 9, 2020",VNT,Vontier,,,S&P 500 constituent Fortive spun off Vontier.[9],,,
"October 7, 2020",POOL,Pool Corporation,ETFC,E*TRADE Financial,Morgan Stanley acquired E*TRADE.[10],,,
"September 21, 2020",ETSY,Etsy,HRB,H&R Block,Market capitalization change.[11],,,
"September 21, 2020",TER,Teradyne,COTY,Coty Inc.,Market capitalization change.[11],,,
"September 21, 2020",CTLT,Catalent,KSS,Kohl's Corp.,Market capitalization change.[11],,,
"June 22, 2020",BIO,Bio-Rad Laboratories,ADS,Alliance Data Systems,Market capitalization change.[12],,,
"June 22, 2020",TDY,Teledyne Technologies,HOG,Harley-Davidson,Market capitalization change.[12],,,
"June 22, 2020",TYL,Tyler Technologies,JWN,Nordstrom,Market capitalization change.[12],,,
"May 22, 2020",WST,West Pharmaceutical Services,HP,Helmerich & Payne,Market capitalization change.[13],,,
"May 12, 2020",DPZ,Domino's Pizza,CPRI,Capri Holdings,Market capitalization change.[14],,,
"May 12, 2020",DXCM,Dexcom,AGN,Allergan,Allergan acquired by AbbVie.[14],,,
"April 3, 2020",OTIS,Otis Worldwide,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[15],,,
"April 3, 2020",CARR,Carrier Global,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[15],,,
"March 3, 2020",GDI,Gardner Denver,XEC,Cimarex Energy,"Gardner Denver acquired Ingersoll Rand plc's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc. and later changed the ticker to IR.[16]",,,
"January 28, 2020",PAYC,Paycom,WCG,WellCare,S&P 500 constituent Centene Corp. (NYSE: CNC) acquired Wellcare Health Plans.[17],,,
"December 23, 2019",LYV,Live Nation Entertainment,AMG,Affiliated Managers Group,Market capitalization change.[18],,,
"December 23, 2019",ZBRA,Zebra Technologies,TRIP,TripAdvisor,Market capitalization change.[18],,,
"December 23, 2019",STE,STERIS plc,MAC,Macerich,Market capitalization change.[18],,,
"December 9, 2019",ODFL,Old Dominion Freight Line,STI,SunTrust Banks,BB&T acquired SunTrust to form Truist Financial.[19],,,
"December 5, 2019",WRB,W. R. Berkley Corporation,VIAB,Viacom,CBS acquired Viacom to form ViacomCBS.[20],,,
"November 21, 2019",NOW,ServiceNow,CELG,Celgene,Bristol-Myers Squibb Co. (NYSE:BMY) acquired Celgene.[21],,,
"October 3, 2019",LVS,Las Vegas Sands,NKTR,Nektar Therapeutics,Market Cap changes[22],,,
"September 26, 2019",NVR,NVR Inc,JEF,Jefferies Financial Group Inc,JEF spun off SPB.[23],,,
"September 23, 2019",CDW,CDW,TSS,TSYS,S&P 500 constituent Global Payments Inc. (NYSE: GPN) acquired TSS.[24],,,
"August 9, 2019",LDOS,Leidos Holdings,APC,Anadarko Petroleum,S&P 500 & 100 constituent Occidental Petroleum Corp. (NYSE:OXY) acquired Anadarko Petroleum.[25],,,
"August 9, 2019",IEX,IDEX Corporation,FL,Foot Locker,Foot Locker moved to the S&P MidCap 400.[25],,,
"July 15, 2019",TMUS,T-Mobile US,RHT,Red Hat,S&P 500 & 100 constituent IBM acquired Red Hat.[26],,,
"July 1, 2019",MKTX,MarketAxess,LLL,L3 Technologies,L3 purchased by Harris Corporation[27],,,
"June 7, 2019",BMS,Bemis Co Inc,MAT,Mattel Inc,Bemis merged with Amcor; subsequently renamed to Amcor plc[28],,,
"June 3, 2019",DD,DuPont de Nemours Inc.,DWDP,DowDuPont Inc.,DWDP changed to DD after spinning off Corteva.[29],,,
"June 3, 2019",CTVA,Corteva,FLR,Fluor Corporation,CTVA spun off from DWDP (which then changed symbol to DD)[29],,,
"April 2, 2019",DOW,Dow Inc.,BHF,Brighthouse Financial,DOW spun off from DWDP[30],,,
"February 27, 2019",WAB,Wabtec Corporation,GT,The Goodyear Tire & Rubber Company,WAB acquired GE transportation business[31],,,
"February 15, 2019",ATO,Atmos Energy Corp,NFX,Newfield Exploration,ECA acquired NFX[32],,,
"January 18, 2019",TFX,Teleflex,PCG,PG&E Corp,PCG filed for bankruptcy[33],,,
"January 2, 2019",FRC,First Republic Bank,SCG,SCANA,Dominion Energy acquired SCANA Corporation[34],,,
"December 24, 2018",CE,Celanese,ESRX,Express Scripts,S&P 500 constituent Cigna (NYSE: CI) acquired ESRX[35],,,
"December 3, 2018",LW,Lamb Weston Holdings Inc,COL,Rockwell Collins,UTX acquired COL[36],,,
"December 3, 2018",MXIM,Maxim Integrated Products Inc,AET,Aetna Inc,CVS acquired Aetna[36],,,
"December 3, 2018",FANG,Diamondback Energy,SRCL,Stericycle,Market Capitalization change[36],,,
"November 13, 2018",JKHY,Jack Henry & Associates,EQT,EQT Corp,EQT spun off ETRN[37],,,
"November 6, 2018",KEYS,Keysight Technologies,CA,CA Inc.,CA acquired by Broadcom Inc..[38],,,
"October 11, 2018",FTNT,Fortinet,EVHC,Envision Healthcare,EVHC acquired by Kohlberg Kravis Roberts.[39],,,
"October 1, 2018",ROL,Rollins Inc.,ANDV,Andeavor,ANDV acquired by Marathon Petroleum.[40],,,
"September 14, 2018",WCG,WellCare,XL,XL Group,XL acquired by AXA.[41],,,
"August 28, 2018",ANET,Arista Networks,GGP,GGP Inc.,GGP acquired by Brookfield Property Partners.[42],,,
"July 2, 2018",CPRT,Copart,DPS,Dr Pepper Snapple Group,DPS acquired by Keurig Green Mountain.[43],,,
"June 20, 2018",FLT,FleetCor Technologies,TWX,Time Warner,AT&T acquired Time Warner.[44],,,
"June 18, 2018",BR,Broadridge Financial Solutions,RRC,Range Resources,Capitalization rebalance.[45],,,
"June 18, 2018",HFC,HollyFrontier,AYI,Acuity Brands,Capitalization rebalance.,,,
"June 7, 2018",TWTR,Twitter,MON,Monsanto,Bayer acquired Monsanto.[46],,,
"June 5, 2018",EVRG,Evergy,NAVI,Navient Corp,Westar Energy (NYSE: WR) acquired Great Plains Energy (NYSE: GXP) and changed name to Evergy.[47],,,
"May 31, 2018",ABMD,Abiomed,WYN,Wyndham Worldwide,Wyndham Worldwide spun off Wyndham Hotels & Resorts Inc. (NYSE:WH).[48],,,
"April 4, 2018",MSCI,MSCI,CSRA,CSRA Inc.,S&P 500 constituent General Dynamics Corp. (NYSE: GD) acquired CSRA.[49],,,
"March 19, 2018",TTWO,Take-Two Interactive,SIG,Signet Jewelers,Market capitalization changes.[50],,,
"March 19, 2018",SIVB,SVB Financial,PDCO,Patterson Companies,Market capitalization changes.,,,
"March 19, 2018",NKTR,Nektar Therapeutics,CHK,Chesapeake Energy,Market capitalization changes.,,,
"March 7, 2018",IPGP,IPG Photonics,SNI,Scripps Networks Interactive,Discovery Communications acquired SNI.[51],,,
"January 3, 2018",HII,Huntington Ingalls Industries,BCR,CR Bard,Becton Dickinson acquired BCR.[52],,,
"October 13, 2017",NCLH,Norwegian Cruise Line Holdings,LVLT,Level 3 Communications,CenturyLink Inc acquired LVLT.[53],,,
"September 18, 2017",CDNS,Cadence Design Systems,SPLS,Staples Inc.,Sycamore Partners acquired Staples.[54],,,
"September 1, 2017",DWDP,DowDuPont Inc.,DOW,The Dow Chemical Company,The Dow Chemical Company renamed to DowDuPont Inc. and ticker changed from DOW to DWDP after acquiring DuPont.[55],,,
"September 1, 2017",SBAC,SBA Communications,DD,DuPont,The Dow Chemical Company acquired DuPont.[55],,,
"August 29, 2017",Q,QuintilesIMS,WFM,Whole Foods Market,Amazon.com Inc. acquired Whole Foods Market.[55],,,
"August 8, 2017",BHF,Brighthouse Financial Inc,AN,AutoNation Inc,"BHF replaced AN,[56] MET spun off BHF[56]",,,
"July 26, 2017",DRE,Duke Realty Corp,RIG,Transocean,Market capitalization changes.[57],,,
"July 26, 2017",AOS,A.O. Smith,BBBY,Bed Bath & Beyond,Market capitalization changes.,,,
"July 26, 2017",PKG,Packaging Corporation of America,MUR,Murphy Oil,Market capitalization changes.,,,
"July 26, 2017",RMD,ResMed,MNK,Mallinckrodt,Market capitalization changes.,,,
"July 26, 2017",MGM,MGM Resorts International,RAI,Reynolds American,British American Tobacco plc (NYSE MKT:BTI) acquired Reynolds American.[57],,,
"June 19, 2017",HLT,Hilton Worldwide Holdings Inc.,YHOO,Yahoo! Inc.,VZ acquired YHOO operations; remainder of YHOO converted to closed-end company known as Altaba.[58],,,
"June 19, 2017",ALGN,Align Technology Inc.,TDC,Teradata Corp.,Market capitalization changes.[58],,,
"June 19, 2017",ANSS,ANSYS Inc.,R,Ryder Systems Inc.,,,,
"June 19, 2017",RE,Everest Re Group,MJN,Mead Johnson,Reckitt Benckiser Group plc acquired Mead Johnson Nutrition.[59],,,
"June 2, 2017",INFO,IHS Markit Ltd.,TGNA,"Tegna, Inc.",TGNA spins off Cars.com[60],,,
"April 5, 2017",IT,Gartner Inc,DNB,Dun & Bradstreet,IT acquiring CEB[61],,,
"April 4, 2017",DXC,DXC Technology,SWN,Southwestern Energy,"HPE spins off Everett Inc., merged with CSC to form DXC[62][63]",,,
"March 20, 2017",AMD,Advanced Micro Devices,URBN,Urban Outfitters,Market capitalization changes.[64],,,
"March 20, 2017",RJF,Raymond James Financial,FTR,Frontier Communications,Market capitalization changes.,,,
"March 20, 2017",ARE,Alexandria Real Estate Equities,FSLR,First Solar,Market capitalization changes.,,,
"March 16, 2017",SNPS,Synopsys,HAR,Harman Int'l Industries,Samsung Electronics Co. Ltd. acquired Harman International Industries.[65],,,
"March 13, 2017",DISH,Dish Network,LLTC,Linear Technology,S&P 500 constituent Analog Devices Inc. (NASD:ADI) acquired Linear Technology.[66],,,
"March 2, 2017",REG,Regency Centers Corporation,ENDP,Endo International,REG acquires EQY[67],,,
"March 1, 2017",CBOE,CBOE Holdings,PBI,Pitney Bowes Inc,CBOE acquires BATS[67],,,
"February 28, 2017",INCY,Incyte,SE,Spectra Energy Corp,SE acquired by ENB[67],,,
"January 5, 2017",IDXX,IDEXX Laboratories,STJ,St. Jude Medical,S&P 100 & 500 constituent Abbott Laboratories (NYSE:ABT) acquired St. Jude Medical.[68],,,
"December 2, 2016",MAA,Mid-America Apartments,OI,Owens-Illinois,Market capitalization changes[69],,,
"December 2, 2016",EVHC,Envision Healthcare,LM,Legg Mason,Market capitalization changes,,,
"November 1, 2016",ARNC,Arconic Inc,AA,Alcoa Inc,AA spins off ARNC[70],,,
"September 30, 2016",COTY,"Coty, Inc.",DO,Diamond Offshore Drilling,COTY replaces DO[71],,,
"September 22, 2016",COO,The Cooper Companies,HOT,Starwood Hotels & Resorts Worldwide Inc,MAR acquires HOT[72],,,
"September 8, 2016",CHTR,Charter Communications,EMC,EMC Corporation,Dell acquires EMC[73],,,
"September 6, 2016",MTD,Mettler Toledo,JCI,Johnson Controls Inc,TYC acquires JCI (and becomes new JCI).[74],,,
"July 5, 2016",FTV,Fortive Corp,CPGX,Columbia Pipeline Group,CPGX acquired by TRP[75],,,
"July 1, 2016",LNT,Alliant Energy Corp,GAS,AGL Resources,GAS acquired by SO[76],,,
"July 1, 2016",ALB,Albemarle Corp,TE,TECO Energy,TE acquired by EMA[75],,,
"June 22, 2016",FBHS,Fortune Brands Home & Security,CVC,Cablevision Systems,CVC acquired by Altice NV[77],,,
"June 3, 2016",TDG,TransDigm Group,BXLT,Baxalta Inc,SHPG acquiring BXLT[78],,,
"May 31, 2016",AJG,Arthur J. Gallagher & Co.,CCE,Coca-Cola Enterprises,CCE merging with European bottlers[79],,,
"May 23, 2016",LKQ,LKQ Corporation,ARG,Airgas Inc,ARG acquired by Air Liquide[80],,,
"May 18, 2016",DLR,Digital Realty Trust Inc,TWC,Time Warner Cable,TWC acquired by CHTR[81],,,
"May 13, 2016",ALK,Alaska Air Group Inc,SNDK,SanDisk Corporation,SNDK acquired by WDC[82],,,
"May 3, 2016",AYI,Acuity Brands Inc,ADT,ADT Corp,ADT acquired by APO[83],,,
"April 25, 2016",GPN,Global Payments Inc.,GME,GameStop,Global Payments is acquiring Heartland Payment Systems[84],,,
"April 18, 2016",ULTA,"Ulta Salon, Cosmetics & Fragrance Inc",THC,Tenet Healthcare,Ulta replaces Tenet[85],,,
"April 8, 2016",UA,Under Armour (Class C),,,Under Armour distribution of second class of stock,,,
"April 4, 2016",FL,Foot Locker Inc,CAM,Cameron International,Schlumberger acquired Cameron[86],,,
"March 30, 2016",HOLX,Hologic Inc,POM,Pepco Holdings Inc,Exelon Corp acquired Pepco[87],,,
"March 30, 2016",CNC,Centene Corporation,ESV,Ensco plc (now Valaris plc),Centene acquired Health Net[87],,,
"March 7, 2016",UDR,"UDR, Inc.",GMCR,Keurig Green Mountain,JAB Holding Company acquired Keurig Green Mountain[88],,,
"March 4, 2016",AWK,American Water Works Company Inc,CNX,Consol Energy,AWK replaces CNX[89],,,
"February 22, 2016",CXO,Concho Resources,PCL,Plum Creek Timber,PCL taken over by WY[90],,,
"February 1, 2016",CFG,Citizens Financial Group,PCP,Precision Castparts Corp.,CFG replaces PCP[91],,,
"February 1, 2016",FRT,Federal Realty Investment Trust,BRCM,Broadcom Corporation,FRT replaces BRCM[92],,,
"January 19, 2016",EXR,Extra Space Storage,CB,Chubb Corp,EXR replaces CB[93],,,
"January 5, 2016",WLTW,Willis Towers Watson,FOSL,Fossil Group,WSH merges with TW (and renames to WLTW)[94],,,
"December 29, 2015",CHD,Church & Dwight,ALTR,Altera Corp,ALTR taken over by INTC[95],,,
"December 1, 2015",CSRA,CSRA Inc,CSC,Computer Sciences Corp,CSC spins off CSRA[97],,,
"November 19, 2015",ILMN,Illumina Inc,SIAL,Sigma-Aldrich Corp,Sigma-Aldrich acquired by Merck KGaA (MKGAY)[98],,,
"November 18, 2015",SYF,Synchrony Financial,GNW,Genworth Financial,GE spinning off Synchrony Financial[99],,,
"November 2, 2015",HPE,Hewlett Packard Enterprise,HCBK,Hudson City Bancorp Inc,HPQ spins off HPE[100],,,
"October 7, 2015",VRSK,Verisk Analytics,JOY,Joy Global,Market capitalization change.[101],,,
"September 18, 2015",CMCSK,Comcast Class K Special,,,Share class methodology change[102],,,
"September 18, 2015",FOX,Twenty-First Century Fox Class B,,,Share class methodology change,,,
"September 18, 2015",NWS,News Corporation Class B,,,Share class methodology change,,,
"September 2, 2015",UAL,United Continental Holdings,HSP,Hospira Inc,Hospira taken over[103],,,
"August 28, 2015",ATVI,Activision Blizzard,PLL,Pall Corp,Pall taken over[103],,,
"July 29, 2015",SIG,Signet Jewelers,DTV,DirecTV,DirectTV acquired by AT&T[104],,,
"July 20, 2015",PYPL,PayPal,NE,Noble Corp,PayPal Spun off by eBay[105],,,
"July 8, 2015",AAP,Advance Auto Parts,FDO,Family Dollar Stores Inc.,Family Dollar Acquired.[106],,,
"July 6, 2015",KHC,Kraft Heinz,KRFT,Kraft Foods Group,Kraft merger with Heinz.[107],,,
"July 2, 2015",CPGX,Columbia Pipeline Group,ATI,Allegheny Technologies,Spin off of Columbia Pipeline.[108],,,
"July 1, 2015",JBHT,J. B. Hunt,TEG,Integrys Energy Group Inc.,Integris taken over.[109],,,
"July 1, 2015",BXLT,Baxalta,QEP,QEP Resources,Baxalta spun off by Baxter.[110],,,
"June 11, 2015",QRVO,Qorvo,LO,Lorillard Inc.,Lorillard Inc. gets acquired.[111],,,
"April 7, 2015",O,Realty Income Corporation,WIN,Windstream Holdings Inc,Market capitalization change.[112],,,
"March 23, 2015",AAL,American Airlines Group,AGN,"Allergan, Inc",Allergan acquired by Actavis plc (and changed name to Allergan plc).[113],,,
"March 23, 2015",EQIX,Equinix,DNR,Denbury Resources,Market Capitalization Changes.[114],,,
"March 23, 2015",SLG,SL Green Realty,NBR,Nabors Industries,Market Capitalization Changes.,,,
"March 23, 2015",HBI,Hanesbrands,AVP,Avon Products,Market Capitalization Changes.,,,
"March 18, 2015",HSIC,Henry Schein,CFN,Carefusion,Carefusion acquired by Becton Dickinson[115],,,
"March 12, 2015",SWKS,Skyworks Solutions Inc.,PETM,PetSmart Inc.,PetSmart acquired by private equity consortium[116],,,
"January 27, 2015",HCA,HCA Holdings,SWY,Safeway Inc,Safeway acquired by private equity consortium[117],,,
"January 27, 2015",ENDP,Endo International,COV,Covidien,Covidien acquired by Medtronic[118],,,
"December 5, 2014",RCL,Royal Caribbean Cruises,BMS,Bemis Company,Market cap changes[119],,,
"November 5, 2014",LVLT,Level 3 Communications,JBL,Jabil Circuit,Market cap changes[120],,,
"September 20, 2014",URI,United Rentals,BTU,Peabody Energy,Market cap changes[121],,,
"September 20, 2014",UHS,Universal Health Services,GHC,Graham Holdings,Market cap changes,,,
"August 18, 2014",MNK,Mallinckrodt plc,RDC,Rowan Companies plc,Market cap changes[122],,,
"August 6, 2014",DISCK,Discovery Communications,,,Class C share distribution[123],,,
"July 2, 2014",MLM,Martin Marietta Materials,X,United States Steel Corporation,Market capitalization changes[124],,,
"July 1, 2014",AMG,Affiliated Managers Group,FRX,Forest Laboratories,Actavis acquires Forest Laboratories[125],,,
"June 20, 2014",XEC,Cimarex Energy,IGT,International Game Technology,Market capitalization changes[126],,,
"May 8, 2014",AVGO,Avago Technologies,LSI,LSI Corporation,Avago acquires LSI[127],,,
"May 1, 2014",UAA,Under Armour (Class A),BEAM,Beam Inc.,Beam acquired by Suntory[128],,,
"May 1, 2014",NAVI,Navient,SLM,SLM Corporation,Navient Spun off from SLM[128],,,
"April 3, 2014",GOOGL,Google Inc.,,,Google Class C share distribution[129],,,
"April 2, 2014",ESS,Essex Property Trust Inc,CLF,Cliffs Natural Resources,Market capitalization changes[130],,,
"March 21, 2014",GMCR,Keurig Green Mountain,WPX,"WPX Energy, Inc.",Market capitalization changes[131],,,
"January 24, 2014",TSCO,Tractor Supply Company,LIFE,Life Technologies,Life Technologies acquired by Thermo Fisher Scientific Inc[132],,,
"December 23, 2013",ADS,Alliance Data Systems,ANF,Abercrombie & Fitch,Market capitalization changes.[133],,,
"December 23, 2013",MHK,Mohawk Industries,JDSU,JDS Uniphase,Market capitalization changes,,,
"December 23, 2013",FB,Facebook,TER,Teradyne,Market capitalization changes,,,
"December 10, 2013",GGP,General Growth Properties,MOLX,Molex Inc.,MOLX acquired by Koch Industries.[134],,,
"December 2, 2013",ALLE,Allegion,JCP,J.C. Penney,Allegion spun off by Ingersoll Rand[135],,,
